OSN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,%,State,Constituency,ST_CODE,PC_CODE
13,VENKATESH VEPURI,Independent,3165,0,3165,0.24,Andhra Pradesh,Ongole,S01,16
14,NOTA,None of the Above,20453,0,20453,1.57,Andhra Pradesh,Ongole,S01,16
1,ADINARAYANA INTY,Bharatiya Janata Party,6895,0,6895,0.69,Andhra Pradesh,Nandyal,S01,17
2,JANGITE LAKSHMI NARASIMHA YADAV,Indian National Congress,10919,0,10919,1.09,Andhra Pradesh,Nandyal,S01,17
3,POCHA . BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,554656,0,554656,55.25,Andhra Pradesh,Nandyal,S01,17
4,MANDRA SIVANANDA REDDY,Telugu Desam,364824,0,364824,36.34,Andhra Pradesh,Nandyal,S01,17
5,D. P. JAMAL BASHA.,Anna YSR Congress Party,3079,0,3079,0.31,Andhra Pradesh,Nandyal,S01,17
6,PULA. NAGAMADDILETY,Ambedkar National Congress,712,0,712,0.07,Andhra Pradesh,Nandyal,S01,17
7,D. MAHAMMAD RAFI .,B. C. United Front,467,0,467,0.05,Andhra Pradesh,Nandyal,S01,17
8,RUDDIREDDY RADHAKRISHNA,All India Forward Bloc,508,0,508,0.05,Andhra Pradesh,Nandyal,S01,17
9,S.P.Y. REDDY,Janasena Party,32757,0,32757,3.26,Andhra Pradesh,Nandyal,S01,17
10,S. A. INDUMATHI,Independent,660,0,660,0.07,Andhra Pradesh,Nandyal,S01,17
11,ELLURI. BHUPAL.,Independent,487,0,487,0.05,Andhra Pradesh,Nandyal,S01,17
12,K.P. KAMBAGIRISWAMY.,Independent,575,0,575,0.06,Andhra Pradesh,Nandyal,S01,17
13,JESTADI SUDHAKAR,Independent,3413,0,3413,0.34,Andhra Pradesh,Nandyal,S01,17
14,I.V. PAKKIR REDDY,Independent,2373,0,2373,0.24,Andhra Pradesh,Nandyal,S01,17
15,POLURU GURUVAIAH.,Independent,4476,0,4476,0.45,Andhra Pradesh,Nandyal,S01,17
16,BHUMA KISHOR REDDY,Independent,3533,0,3533,0.35,Andhra Pradesh,Nandyal,S01,17
17,B.C. RAMANATHA REDDY,Independent,1817,0,1817,0.18,Andhra Pradesh,Nandyal,S01,17
18,Dr. LAKSHMI KANTHA REDDY CHITLA,Independent,1055,0,1055,0.11,Andhra Pradesh,Nandyal,S01,17
19,VANGALA PARAMESWARA REDDY.,Independent,1816,0,1816,0.18,Andhra Pradesh,Nandyal,S01,17
20,C. SURENDRA NATH REDDY,Independent,1334,0,1334,0.13,Andhra Pradesh,Nandyal,S01,17
21,NOTA,None of the Above,7517,0,7517,0.75,Andhra Pradesh,Nandyal,S01,17
1,AHMED ALI KHAN,Indian National Congress,23868,0,23868,2.33,Andhra Pradesh,Kurnool,S01,18
2,KOTLA JAYA SURYA PRAKASH REDDY,Telugu Desam,392044,0,392044,38.24,Andhra Pradesh,Kurnool,S01,18
3,Dr. PARTHASARATHI VALMIKI,Bharatiya Janata Party,19974,0,19974,1.95,Andhra Pradesh,Kurnool,S01,18
4,K. PRABHAKARA REDDY,Communist Party of India  (Marxist),15857,0,15857,1.55,Andhra Pradesh,Kurnool,S01,18
5,AYUSHMAN DOCTOR SANJEEV KUMAR,Yuvajana Sramika Rythu Congress Party,532663,0,532663,51.96,Andhra Pradesh,Kurnool,S01,18
6,ABDUL WARIS,SOCIAL DEMOCRATIC PARTY OF INDIA,5869,0,5869,0.57,Andhra Pradesh,Kurnool,S01,18
7,KASULA RAJASEKHAR,Pyramid Party of India,1076,0,1076,0.1,Andhra Pradesh,Kurnool,S01,18
8,DANDU SESHU YADAV,Samajwadi Party,2967,0,2967,0.29,Andhra Pradesh,Kurnool,S01,18
9,M. NAGANNA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1148,0,1148,0.11,Andhra Pradesh,Kurnool,S01,18
10,S.MD. SHAFATH,Rayalaseema Rashtra Samithi,1096,0,1096,0.11,Andhra Pradesh,Kurnool,S01,18
11,G Sanjeeva Kumar,Samajwadi Forward Bloc,1884,0,1884,0.18,Andhra Pradesh,Kurnool,S01,18
12,HATCHOLI THOMAS,Independent,1341,0,1341,0.13,Andhra Pradesh,Kurnool,S01,18
13,DEVARAPOGU MADDILETY,Independent,1539,0,1539,0.15,Andhra Pradesh,Kurnool,S01,18
14,BALIJA. SHIVA KUMAR,Independent,2514,0,2514,0.25,Andhra Pradesh,Kurnool,S01,18
15,T. BEECHUPALLY,Independent,8934,0,8934,0.87,Andhra Pradesh,Kurnool,S01,18
16,P.V. SRIHARI,Independent,5858,0,5858,0.57,Andhra Pradesh,Kurnool,S01,18
17,NOTA,None of the Above,6462,0,6462,0.63,Andhra Pradesh,Kurnool,S01,18
1,D.JAGADEESH,Communist Party of India,19985,0,19985,1.52,Andhra Pradesh,Anantapur,S01,19
2,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,681456,0,681456,51.79,Andhra Pradesh,Anantapur,S01,19
3,J.C. PAVAN REDDY,Telugu Desam,542674,0,542674,41.24,Andhra Pradesh,Anantapur,S01,19
4,K.RAJIV REDDY,Indian National Congress,29522,0,29522,2.24,Andhra Pradesh,Anantapur,S01,19
5,HAMSA DEVINENI,Bharatiya Janata Party,7325,0,7325,0.56,Andhra Pradesh,Anantapur,S01,19
6,GADIDAMA RANGANAYAKULU,Vishwa Jana Party,720,0,720,0.05,Andhra Pradesh,Anantapur,S01,19
7,P.RADHA KRISHNA,Radical Democrats,1199,0,1199,0.09,Andhra Pradesh,Anantapur,S01,19
8,G. LALITHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),883,0,883,0.07,Andhra Pradesh,Anantapur,S01,19
9,M.VENKATESULU,Pyramid Party of India,1024,0,1024,0.08,Andhra Pradesh,Anantapur,S01,19
10,S.V.P. YADAV,Independent,4331,0,4331,0.33,Andhra Pradesh,Anantapur,S01,19
11,P. RANGAIAH,Independent,3532,0,3532,0.27,Andhra Pradesh,Anantapur,S01,19
12,L. RANGAIAH,Independent,1660,0,1660,0.13,Andhra Pradesh,Anantapur,S01,19
13,VADDE KASINATH,Independent,2031,0,2031,0.15,Andhra Pradesh,Anantapur,S01,19
14,SOMANATH DESHMUKH,Independent,3197,0,3197,0.24,Andhra Pradesh,Anantapur,S01,19
15,NOTA,None of the Above,16200,0,16200,1.23,Andhra Pradesh,Anantapur,S01,19
1,KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR),Indian National Congress,26816,0,26816,2.04,Andhra Pradesh,Hindupur,S01,20
2,KURUVA GORANTLA MADHAV,Yuvajana Sramika Rythu Congress Party,694873,0,694873,52.74,Andhra Pradesh,Hindupur,S01,20
3,KRISTAPPA . NIMMALA,Telugu Desam,557455,0,557455,42.31,Andhra Pradesh,Hindupur,S01,20
4,MITTA PARTHASARATHI,Bharatiya Janata Party,13432,0,13432,1.02,Andhra Pradesh,Hindupur,S01,20
5,Ram Mohan Singamneni,Pyramid Party of India,1390,0,1390,0.11,Andhra Pradesh,Hindupur,S01,20
6,S.R.Anjaneyulu,Independent,1207,0,1207,0.09,Andhra Pradesh,Hindupur,S01,20
7,GOGULA PULAKUNTA JAYANTH,Independent,1567,0,1567,0.12,Andhra Pradesh,Hindupur,S01,20
8,Mugi Surya Prakash,Independent,1301,0,1301,0.1,Andhra Pradesh,Hindupur,S01,20
9,Ramamohan D.G.,Independent,2206,0,2206,0.17,Andhra Pradesh,Hindupur,S01,20
10,NOTA,None of the Above,17229,0,17229,1.31,Andhra Pradesh,Hindupur,S01,20
1,Yeduguri Sandinti Avinash Reddy,Yuvajana Sramika Rythu Congress Party,767678,0,767678,63.62,Andhra Pradesh,Kadapa,S01,21
2,Chadipirala Adi Narayana Reddy,Telugu Desam,396665,0,396665,32.87,Andhra Pradesh,Kadapa,S01,21
3,Gundlakunta Sreeramulu,Indian National Congress,8737,0,8737,0.72,Andhra Pradesh,Kadapa,S01,21
4,Gujjula Eswaraiah,Communist Party of India,6119,0,6119,0.51,Andhra Pradesh,Kadapa,S01,21
5,Sri Rama Chandra Singareddy,Bharatiya Janata Party,4502,0,4502,0.37,Andhra Pradesh,Kadapa,S01,21
6,Ameen Peeran Shaik,Ambedkar National Congress,570,0,570,0.05,Andhra Pradesh,Kadapa,S01,21
7,Lakshmi Reddy Putha,Rajyadhikara Party,352,0,352,0.03,Andhra Pradesh,Kadapa,S01,21
8,Pedakala Varalakshmi,Pyramid Party of India,703,0,703,0.06,Andhra Pradesh,Kadapa,S01,21
9,Chadipirala Siva Narayana Reddy,Navarang Congress Party,442,0,442,0.04,Andhra Pradesh,Kadapa,S01,21
10,Siva Chandra Reddy Komma,Anna YSR Congress Party,1386,0,1386,0.11,Andhra Pradesh,Kadapa,S01,21
11,Gona Purushottam Reddy,Independent,1126,0,1126,0.09,Andhra Pradesh,Kadapa,S01,21
12,Jakku Chenna Krishna Reddy,Independent,568,0,568,0.05,Andhra Pradesh,Kadapa,S01,21
13,Nyamatulla Shaik,Independent,747,0,747,0.06,Andhra Pradesh,Kadapa,S01,21
14,Peddireddy Showry Subhash Reddy,Independent,854,0,854,0.07,Andhra Pradesh,Kadapa,S01,21
15,Venu Gopal Rachineni,Independent,1722,0,1722,0.14,Andhra Pradesh,Kadapa,S01,21
16,NOTA,None of the Above,14445,0,14445,1.2,Andhra Pradesh,Kadapa,S01,21
1,Adala Prabhakara Reddy,Yuvajana Sramika Rythu Congress Party,638298,0,638298,52.96,Andhra Pradesh,Nellore,S01,22
2,Chandra Rajagopal,Communist Party of India  (Marxist),17837,0,17837,1.48,Andhra Pradesh,Nellore,S01,22
3,Chevuru Devakumar Reddy,Indian National Congress,9506,0,9506,0.79,Andhra Pradesh,Nellore,S01,22
4,Beeda Masthan Rao,Telugu Desam,502905,0,502905,41.73,Andhra Pradesh,Nellore,S01,22
5,Sannapureddy Suresh Reddy,Bharatiya Janata Party,11779,0,11779,0.98,Andhra Pradesh,Nellore,S01,22
6,Chinni Venkateswarlu,Pyramid Party of India,791,0,791,0.07,Andhra Pradesh,Nellore,S01,22
7,Shaik Mahaboob Basha (Mabu),Republican Party of India (A),1232,0,1232,0.1,Andhra Pradesh,Nellore,S01,22
8,Kankanala Penchala Naidu,Independent,624,0,624,0.05,Andhra Pradesh,Nellore,S01,22
9,Narasapuram Prasad,Independent,2233,0,2233,0.19,Andhra Pradesh,Nellore,S01,22
10,Butti Nagaraju,Independent,1036,0,1036,0.09,Andhra Pradesh,Nellore,S01,22
11,Meda Malla Reddy,Independent,568,0,568,0.05,Andhra Pradesh,Nellore,S01,22
12,Sukapalli Naveen,Independent,956,0,956,0.08,Andhra Pradesh,Nellore,S01,22
13,Dr. S. Suresh Babu,Independent,1391,0,1391,0.12,Andhra Pradesh,Nellore,S01,22
14,NOTA,None of the Above,16115,0,16115,1.34,Andhra Pradesh,Nellore,S01,22
1,Chintamohan,Indian National Congress,23755,0,23755,1.84,Andhra Pradesh,Tirupati,S01,23
2,Doctor Daggumati Sreehari Rao,Bahujan Samaj Party,20625,0,20625,1.6,Andhra Pradesh,Tirupati,S01,23
3,Panabaka Lakshmi,Telugu Desam,485258,0,485258,37.61,Andhra Pradesh,Tirupati,S01,23
4,Balli Durga Prasad Rao,Yuvajana Sramika Rythu Congress Party,710057,0,710057,55.04,Andhra Pradesh,Tirupati,S01,23
5,Bommi Srihari Rao,Bharatiya Janata Party,15833,0,15833,1.23,Andhra Pradesh,Tirupati,S01,23
6,Karra Siva (Pyramid Siva),Pyramid Party of India,986,0,986,0.08,Andhra Pradesh,Tirupati,S01,23
7,"Neeruguttu Nagesh, M.A., Philosophy",Janapaalana Party (Democratic),906,0,906,0.07,Andhra Pradesh,Tirupati,S01,23
8,Bokkam. Ramesh,Viduthalai Chiruthaigal Katchi,1177,0,1177,0.09,Andhra Pradesh,Tirupati,S01,23
9,Viruvuru Sudhakar,Vishwa Jana Party,985,0,985,0.08,Andhra Pradesh,Tirupati,S01,23
10,M. Solomon,Andhra Rastra Praja Samithi,1539,0,1539,0.12,Andhra Pradesh,Tirupati,S01,23
11,Kattamanchi Prabhakar,Independent,1419,0,1419,0.11,Andhra Pradesh,Tirupati,S01,23
12,K.S. Munirathnam,Independent,2095,0,2095,0.16,Andhra Pradesh,Tirupati,S01,23
13,NOTA,None of the Above,25523,0,25523,1.98,Andhra Pradesh,Tirupati,S01,23
1,P.V.MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,686306,0,686306,57.35,Andhra Pradesh,Rajampet,S01,24
2,M.SHAJAHAN BASHA (JAHA),Indian National Congress,20706,0,20706,1.73,Andhra Pradesh,Rajampet,S01,24
3,D A SATHYA PRABHA,Telugu Desam,423456,0,423456,35.39,Andhra Pradesh,Rajampet,S01,24
4,ASADI. VENKATADRI,Rashtriya Krantikari Samajwadi Party,3409,0,3409,0.28,Andhra Pradesh,Rajampet,S01,24
5,KARIMULLA KHAN PATTAN,Navataram Party,1121,0,1121,0.09,Andhra Pradesh,Rajampet,S01,24
6,KHADER VALI SHAIK,Indian Union Muslim League,1540,0,1540,0.13,Andhra Pradesh,Rajampet,S01,24
7,SYED MUKARRAM,Janasena Party,33589,0,33589,2.81,Andhra Pradesh,Rajampet,S01,24
8,NARESH KUMAR POOJALA,Independent,1736,0,1736,0.15,Andhra Pradesh,Rajampet,S01,24
9,PASUPULETI VENKATARAMANA ROYAL,Independent,3776,0,3776,0.32,Andhra Pradesh,Rajampet,S01,24
10,NOTA,None of the Above,21021,0,21021,1.76,Andhra Pradesh,Rajampet,S01,24
1,CHEEMALA. RANGAPPA,Indian National Congress,24377,0,24377,1.88,Andhra Pradesh,Chittoor,S01,25
2,JAYARAM DUGGANI,Bharatiya Janata Party,10087,0,10087,0.78,Andhra Pradesh,Chittoor,S01,25
3,NARAMALLI SIVA PRASAD,Telugu Desam,540666,0,540666,41.66,Andhra Pradesh,Chittoor,S01,25
4,C. PUNYAMURTHY,Bahujan Samaj Party,19851,0,19851,1.53,Andhra Pradesh,Chittoor,S01,25
5,N. REDDEPPA,Yuvajana Sramika Rythu Congress Party,675094,0,675094,52.02,Andhra Pradesh,Chittoor,S01,25
6,PALLIPATTU. ABHINAV VISHNU,Mundadugu Praja Party,3401,0,3401,0.26,Andhra Pradesh,Chittoor,S01,25
7,P. RAMACHANDRAN,Independent,1838,0,1838,0.14,Andhra Pradesh,Chittoor,S01,25
8,A. HEMANTH,Independent,2068,0,2068,0.16,Andhra Pradesh,Chittoor,S01,25
9,NOTA,None of the Above,20317,0,20317,1.57,Andhra Pradesh,Chittoor,S01,25
1,KIREN RIJIJU,Bharatiya Janata Party,153903,0,153903,62.37,Arunachal Pradesh,ARUNACHAL WEST,S02,1
2,NABAM TUKI,Indian National Congress,40281,0,40281,16.32,Arunachal Pradesh,ARUNACHAL WEST,S02,1
3,SUBU KECHI,People's Party of Arunachal,3315,0,3315,1.34,Arunachal Pradesh,ARUNACHAL WEST,S02,1
4,JARJUM ETE,Janata Dal  (Secular),25398,0,25398,10.29,Arunachal Pradesh,ARUNACHAL WEST,S02,1
5,JOMIN NYOKIR KARA,All India Forward Bloc,1212,0,1212,0.49,Arunachal Pradesh,ARUNACHAL WEST,S02,1
6,KHYODA APIK,National People's Party,20044,0,20044,8.12,Arunachal Pradesh,ARUNACHAL WEST,S02,1
7,RUMAK JOMOH,Independent,1303,0,1303,0.53,Arunachal Pradesh,ARUNACHAL WEST,S02,1
8,NOTA,None of the Above,1318,0,1318,0.53,Arunachal Pradesh,ARUNACHAL WEST,S02,1
1,Lowangcha Wanglat,Indian National Congress,59699,0,59699,27.8,Arunachal Pradesh,ARUNACHAL EAST,S02,2
2,Mongol Yomso,People's Party of Arunachal,15478,0,15478,7.21,Arunachal Pradesh,ARUNACHAL EAST,S02,2
3,Tapir Gao,Bharatiya Janata Party,111974,0,111974,52.15,Arunachal Pradesh,ARUNACHAL EAST,S02,2
4,Bandey Mili,Janata Dal  (Secular),13478,0,13478,6.28,Arunachal Pradesh,ARUNACHAL EAST,S02,2
5,C. C. Singpho,Independent,9778,0,9778,4.55,Arunachal Pradesh,ARUNACHAL EAST,S02,2
6,NOTA,None of the Above,4326,0,4326,2.01,Arunachal Pradesh,ARUNACHAL EAST,S02,2
1,KRIPANATH MALLAH,Bharatiya Janata Party,471946,1100,473046,44.62,Assam,Karimganj,S03,1
2,CHANDAN DAS,All India Trinamool Congress,4848,22,4870,0.46,Assam,Karimganj,S03,1
3,RADHESHYAM BISWAS,All India United Democratic Front,434519,138,434657,41,Assam,Karimganj,S03,1
4,SWARUP DAS,Indian National Congress,120293,159,120452,11.36,Assam,Karimganj,S03,1
5,AJOY KUMAR SARKAR,All India Forward Bloc,1537,1,1538,0.15,Assam,Karimganj,S03,1
6,NIKHIL RANJAN DAS,Hindusthan Nirman Dal,2518,1,2519,0.24,Assam,Karimganj,S03,1
7,PROBASH CHANDRA SARKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1165,1,1166,0.11,Assam,Karimganj,S03,1
8,ANUPAM SINGHA,Independent,1057,12,1069,0.1,Assam,Karimganj,S03,1
9,PARIKSHIT ROY,Independent,2765,0,2765,0.26,Assam,Karimganj,S03,1
10,RABINDRA CHANDRA DAS,Independent,1714,5,1719,0.16,Assam,Karimganj,S03,1
11,RAJU DAS,Independent,2107,4,2111,0.2,Assam,Karimganj,S03,1
12,RAMNARAYAN SUKLABAIDYA,Independent,1795,0,1795,0.17,Assam,Karimganj,S03,1
13,SATYAJIT DAS,Independent,2986,2,2988,0.28,Assam,Karimganj,S03,1
14,HARILAL RABIDAS,Independent,2821,1,2822,0.27,Assam,Karimganj,S03,1
15,NOTA,None of the Above,6548,7,6555,0.62,Assam,Karimganj,S03,1
1,RAJDEEP ROY,Bharatiya Janata Party,496235,0,496235,52.52,Assam,Silchar,S03,2
2,SUSHMITA DEV,Indian National Congress,416233,0,416233,44.06,Assam,Silchar,S03,2
3,HITABRATA ROY,All India Trinamool Congress,3498,0,3498,0.37,Assam,Silchar,S03,2
4,NAZIA YASMIN MAZUMDAR,National People's Party,5650,0,5650,0.6,Assam,Silchar,S03,2
5,Badrul Islam Barbhuiya,All India Forward Bloc,829,0,829,0.09,Assam,Silchar,S03,2
6,Shyam Deo Kurmi,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1081,0,1081,0.11,Assam,Silchar,S03,2
7,Ashitava Dutta,Independent,808,0,808,0.09,Assam,Silchar,S03,2
8,Ashutosh Bhattacharjee,Independent,1503,0,1503,0.16,Assam,Silchar,S03,2
9,Nazmul Haque Laskar,Independent,1816,0,1816,0.19,Assam,Silchar,S03,2
10,Puran Lal Goala,Independent,1459,0,1459,0.15,Assam,Silchar,S03,2
11,Mohendra Chandra Das,Independent,1652,0,1652,0.17,Assam,Silchar,S03,2
12,Shuvadip Datta,Independent,1532,0,1532,0.16,Assam,Silchar,S03,2
13,Sabindra Das,Independent,3981,0,3981,0.42,Assam,Silchar,S03,2
14,NOTA,None of the Above,8525,0,8525,0.9,Assam,Silchar,S03,2
1,BIREN SINGH ENGTI,Indian National Congress,131734,0,131734,22.66,Assam,Autonomous District,S03,3
2,HOREN SING BEY,Bharatiya Janata Party,357420,0,357420,61.49,Assam,Autonomous District,S03,3
3,LIENKHOCHON,National People's Party,9489,0,9489,1.63,Assam,Autonomous District,S03,3
4,HOLIRAM TERANG,Autonomous State Demand Committee,35965,0,35965,6.19,Assam,Autonomous District,S03,3
5,JONES INGTI KATHAR,Independent,38854,0,38854,6.68,Assam,Autonomous District,S03,3
6,NOTA,None of the Above,7821,0,7821,1.35,Assam,Autonomous District,S03,3
1,ABU TAHER BEPARI,Indian National Congress,470392,420,470812,29.45,Assam,Dhubri,S03,4
2,ZABED ISLAM,Asom Gana Parishad,358881,963,359844,22.51,Assam,Dhubri,S03,4
3,NURUL ISLAM CHOUDHURY,All India Trinamool Congress,12124,30,12154,0.76,Assam,Dhubri,S03,4
4,BADRUDDIN AJMAL,All India United Democratic Front,697344,633,697977,43.66,Assam,Dhubri,S03,4
5,ALAKESH ROY,Hindusthan Nirman Dal,7374,63,7437,0.47,Assam,Dhubri,S03,4
6,SURAT JAMAN MONDAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4153,21,4174,0.26,Assam,Dhubri,S03,4
7,JOHIRUL ISLAM KHAN,Purvanchal Janta Party (Secular),2713,13,2726,0.17,Assam,Dhubri,S03,4
8,NRIPEN DAS,Bharatiya National Janta Dal,1759,164,1923,0.12,Assam,Dhubri,S03,4
9,MEHBUBAR RAHMAN,Republican Party of India (A),3933,1,3934,0.25,Assam,Dhubri,S03,4
10,SHAJAHAN SHEIKH,Voters Party  International,5313,3,5316,0.33,Assam,Dhubri,S03,4
11,ANAMIKA SARKAR,Independent,5053,23,5076,0.32,Assam,Dhubri,S03,4
12,UTTAM KUMAR RAY,Independent,3073,31,3104,0.19,Assam,Dhubri,S03,4
13,MIR HUSSAIN SARKAR,Independent,3977,0,3977,0.25,Assam,Dhubri,S03,4
14,RUKUNUR ZAMAN,Independent,4153,0,4153,0.26,Assam,Dhubri,S03,4
15,SHUKUR ALI,Independent,7389,9,7398,0.46,Assam,Dhubri,S03,4
16,NOTA,None of the Above,8484,15,8499,0.53,Assam,Dhubri,S03,4
1,Pramila Rani Brahma,Bodoland Peoples Front,431016,0,431016,30.08,Assam,Kokrajhar,S03,5
2,Biraj Deka,Communist Party of India  (Marxist),23781,0,23781,1.66,Assam,Kokrajhar,S03,5
3,Sabda Ram Rabha,Indian National Congress,135686,0,135686,9.47,Assam,Kokrajhar,S03,5
4,Urkhao Gwra Brahma,"United People’s Party, Liberal",306998,0,306998,21.43,Assam,Kokrajhar,S03,5
5,Charan Iswary,Purvanchal Janta Party (Secular),9340,0,9340,0.65,Assam,Kokrajhar,S03,5
6,Rajesh Narzary,Voters Party  International,13681,0,13681,0.95,Assam,Kokrajhar,S03,5
7,Naba Kumar Sarania,Independent,476552,0,476552,33.26,Assam,Kokrajhar,S03,5
8,Prasanjit Kumar Das,Independent,9623,0,9623,0.67,Assam,Kokrajhar,S03,5
9,Ranjoy Kr. Brahma,Independent,10537,0,10537,0.74,Assam,Kokrajhar,S03,5
10,NOTA,None of the Above,15483,0,15483,1.08,Assam,Kokrajhar,S03,5
1,Abdul Khaleque,Indian National Congress,585599,0,585599,43.33,Assam,Barpeta,S03,6
2,Ashahak Ali Dewan,All India Trinamool Congress,19539,0,19539,1.45,Assam,Barpeta,S03,6
3,Kumar Deepak Das,Asom Gana Parishad,475525,0,475525,35.19,Assam,Barpeta,S03,6
4,Rafiqul Islam,All India United Democratic Front,233849,0,233849,17.31,Assam,Barpeta,S03,6
5,Aroon Barooa,Purvanchal Janta Party (Secular),3226,0,3226,0.24,Assam,Barpeta,S03,6
6,Chitralekha Das,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2228,0,2228,0.16,Assam,Barpeta,S03,6
7,Saniara Parbin,Voters Party  International,3227,0,3227,0.24,Assam,Barpeta,S03,6
8,Pranabjyoti Das Rajbonshi,National People's Party,2273,0,2273,0.17,Assam,Barpeta,S03,6
9,Bhadreswar Barman,National Republican Congress,2050,0,2050,0.15,Assam,Barpeta,S03,6
10,Matiar Rahman,The National Road Map Party of India,3768,0,3768,0.28,Assam,Barpeta,S03,6
11,Rejaul Karim,Republican Party of India (A),3165,0,3165,0.23,Assam,Barpeta,S03,6
12,Santanu Mukherjee,Bharatiya Gana Parishad,5109,0,5109,0.38,Assam,Barpeta,S03,6
13,Arfan Ali,Independent,2602,0,2602,0.19,Assam,Barpeta,S03,6
14,NOTA,None of the Above,9172,0,9172,0.68,Assam,Barpeta,S03,6
1,QUEEN OJA,Bharatiya Janata Party,897570,0,897570,56.91,Assam,Gauhati,S03,7
2,BOBBEETA SHARMA,Indian National Congress,598839,0,598839,37.97,Assam,Gauhati,S03,7
3,MANOJ SHARMA,All India Trinamool Congress,9331,0,9331,0.59,Assam,Gauhati,S03,7
4,AVIJIT CHAKRABORTY,Bharatiya Gana Parishad,2103,0,2103,0.13,Assam,Gauhati,S03,7
5,SADEK ALI,Republican Party of India (A),3253,0,3253,0.21,Assam,Gauhati,S03,7
6,PANKAJ DAS,Swarna Bharat Party,3670,0,3670,0.23,Assam,Gauhati,S03,7
7,PARTHA PRATIM BARUAH,Voters Party  International,2330,0,2330,0.15,Assam,Gauhati,S03,7
8,MAMONI SARMA,Purvanchal Janta Party (Secular),2150,0,2150,0.14,Assam,Gauhati,S03,7
9,RAJIB KAKATI,Hindusthan Nirman Dal,1868,0,1868,0.12,Assam,Gauhati,S03,7
10,RATUL KUMAR CHOUDHURY,Samajwadi Party,2090,0,2090,0.13,Assam,Gauhati,S03,7
11,RUBI NEOG,National Republican Congress,1796,0,1796,0.11,Assam,Gauhati,S03,7
12,ALIMUDDIN AHMED,Independent,2512,0,2512,0.16,Assam,Gauhati,S03,7
13,UPAMANYU HAZARIKA,Independent,18108,0,18108,1.15,Assam,Gauhati,S03,7
14,UTPAL BORGOHAIN,Independent,2429,0,2429,0.15,Assam,Gauhati,S03,7
15,JUNMONI DEVI KHAUND,Independent,4857,0,4857,0.31,Assam,Gauhati,S03,7
16,FARUK AHMED BHUYAN,Independent,8151,0,8151,0.52,Assam,Gauhati,S03,7
17,SHANKHA SINHA,Independent,6936,0,6936,0.44,Assam,Gauhati,S03,7
18,NOTA,None of the Above,9220,0,9220,0.58,Assam,Gauhati,S03,7
1,DILIP SAIKIA,Bharatiya Janata Party,670613,0,670613,48.52,Assam,Mangaldoi,S03,8
2,BHUBANESWAR KALITA,Indian National Congress,546244,0,546244,39.52,Assam,Mangaldoi,S03,8
3,SUDHENDU MOHAN TALUKDAR,All India Trinamool Congress,9975,0,9975,0.72,Assam,Mangaldoi,S03,8
4,AINUL HAQUE,Asom Jana Morcha,3927,0,3927,0.28,Assam,Mangaldoi,S03,8
5,GANDHESHWAR MOCHAHARI,Voters Party  International,10727,0,10727,0.78,Assam,Mangaldoi,S03,8
6,BIREN BASAK,Bharatiya Gana Parishad,2390,0,2390,0.17,Assam,Mangaldoi,S03,8
7,MANI RAM BASUMATARY,Hindusthan Nirman Dal,3597,0,3597,0.26,Assam,Mangaldoi,S03,8
8,SWARNALATA CHALIHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3642,0,3642,0.26,Assam,Mangaldoi,S03,8
9,KAZI NEKIB AHMED,Independent,6862,0,6862,0.5,Assam,Mangaldoi,S03,8
10,JAYANTA KUMAR KALITA,Independent,7330,0,7330,0.53,Assam,Mangaldoi,S03,8
11,PRODEEP KUMAR DAIMARY,"United People’s Party, Liberal",99361,0,99361,7.19,Assam,Mangaldoi,S03,8
12,NOTA,None of the Above,17530,0,17530,1.27,Assam,Mangaldoi,S03,8
1,PALLAB LOCHAN DAS,Bharatiya Janata Party,587084,0,587084,58.03,Assam,Tezpur,S03,9
2,M.G.V.K. BHANU,Indian National Congress,372025,0,372025,36.78,Assam,Tezpur,S03,9
3,MAHENDRA BHUYAN,Nationalist Congress Party,5412,0,5412,0.53,Assam,Tezpur,S03,9
4,MAHENDRA ORANG,Voters Party  International,5758,0,5758,0.57,Assam,Tezpur,S03,9
5,RAM BAHADUR SUNAR,National People's Party,4905,0,4905,0.48,Assam,Tezpur,S03,9
6,ZIABUR RAHMAN KHAN,Independent,4161,0,4161,0.41,Assam,Tezpur,S03,9
7,BIJOY KUMAR TIRU,Independent,18999,0,18999,1.88,Assam,Tezpur,S03,9
8,NOTA,None of the Above,13271,0,13271,1.31,Assam,Tezpur,S03,9
1,Pradyut Bordoloi,Indian National Congress,705318,0,705318,49.98,Assam,Nowgong,S03,10
2,Sri Rupak Sharma,Bharatiya Janata Party,676991,0,676991,47.97,Assam,Nowgong,S03,10
